                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.2216,                 1.6353,                 1.5712,                0.94558,                0.39282,                0.46683,                0.35614,                 1.6972,                 2.3431,                 1.4902,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.1149,                 1.5802,                 1.3996,                0.94891,                0.39209,                0.45829,                0.34966,                 1.6776,                 2.3253,                 1.4601,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.83794,                 1.3685,                 1.2724,                0.94891,                0.39209,                0.45829,                0.34966,                 1.6776,                 2.3253,                 1.4601,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.77865,                0.72331,                 1.1769,                0.94891,                0.39209,                0.45829,                0.34966,                 1.6776,                 2.3253,                 1.4601,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.95859,                0.79493,                 1.4845,                0.94818,                0.39237,                0.45799,                0.34276,                 1.7243,                 2.3662,                 1.5049,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.61983,                0.70331,                 1.0803,                0.94818,                0.39237,                0.45799,                0.34276,                 1.7243,                 2.3662,                 1.5049,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 0.7055,                0.87492,                 1.0561,                0.94818,                0.39237,                0.45799,                0.34276,                 1.7243,                 2.3662,                 1.5049,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.71691,                0.81507,                 1.1308,                 0.9482,                 0.3932,                0.42499,                0.31095,                 1.7319,                 2.3373,                 1.5006,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.64424,                0.69615,                 1.0792,                 0.9482,                 0.3932,                0.42499,                0.31095,                 1.7319,                 2.3373,                 1.5006,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.57569,                 0.8183,                 1.1618,                 0.9482,                 0.3932,                0.42499,                0.31095,                 1.7319,                 2.3373,                 1.5006,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 0.6107,                0.88026,                 1.0608,                0.94806,                0.39325,                0.42401,                0.30566,                 1.7461,                 2.3967,                 1.5217,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.68873,                  1.029,                 1.0779,                0.94806,                0.39325,                0.42401,                0.30566,                 1.7461,                 2.3967,                 1.5217,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                0.98531,                  1.708,                 1.3578,                0.94806,                0.39325,                0.42401,                0.30566,                 1.7461,                 2.3967,                 1.5217,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.58136,                 1.0069,                  1.092,                 0.9474,                0.39424,                0.42441,                0.30652,                 1.7633,                 2.4006,                 1.5402,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.89038,                0.85558,                 1.3763,                 0.9474,                0.39424,                0.42441,                0.30652,                 1.7633,                 2.4006,                 1.5402,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.99289,                 1.2896,                 1.3707,                 0.9474,                0.39424,                0.42441,                0.30652,                 1.7633,                 2.4006,                 1.5402,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.58506,                0.59661,                  1.049,                0.94974,                0.39322,                 0.4243,                0.30647,                 1.7835,                 2.4535,                 1.5722,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.68538,                0.92379,                 1.0641,                0.94974,                0.39322,                 0.4243,                0.30647,                 1.7835,                 2.4535,                 1.5722,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.63664,                0.68381,                 1.1499,                0.94974,                0.39322,                 0.4243,                0.30647,                 1.7835,                 2.4535,                 1.5722,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.69781,                0.58502,                 1.1286,                0.94959,                0.39344,                0.42405,                0.30532,                 1.7708,                 2.4562,                 1.5438,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.56981,                0.86946,                 1.0944,                0.94959,                0.39344,                0.42405,                0.30532,                 1.7708,                 2.4562,                 1.5438,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 0.6256,                0.59423,                 1.0797,                0.94959,                0.39344,                0.42405,                0.30532,                 1.7708,                 2.4562,                 1.5438,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 0.7734,                 1.1046,                 1.1321,                0.95027,                0.39354,                0.42432,                0.30803,                 1.8038,                 2.4964,                 1.5733,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.60125,                0.74939,                 1.1102,                0.95027,                0.39354,                0.42432,                0.30803,                 1.8038,                 2.4964,                 1.5733,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.66454,                0.79585,                 1.1217,                0.95027,                0.39354,                0.42432,                0.30803,                 1.8038,                 2.4964,                 1.5733,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.50961,                 0.4572,                0.98549,                0.95119,                0.39067,                0.42442,                0.30463,                 1.7969,                 2.4599,                 1.5556,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.72905,                0.69368,                 1.1483,                0.95119,                0.39067,                0.42442,                0.30463,                 1.7969,                 2.4599,                 1.5556,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 0.7835,                0.79459,                 1.1775,                0.95119,                0.39067,                0.42442,                0.30463,                 1.7969,                 2.4599,                 1.5556,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.57252,                0.59793,                 1.0221,                0.94962,                0.38947,                 0.4244,                 0.3082,                 1.7841,                 2.4487,                 1.5307,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.61288,                0.71494,                  1.144,                0.94962,                0.38947,                 0.4244,                 0.3082,                 1.7841,                 2.4487,                 1.5307,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.84666,                0.82414,                 1.1277,                0.94962,                0.38947,                 0.4244,                 0.3082,                 1.7841,                 2.4487,                 1.5307,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.65919,                0.75388,                 1.0213,                0.94962,                0.38947,                 0.4244,                 0.3082,                 1.7841,                 2.4487,                 1.5307,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.77511,                0.88173,                 1.3682,                0.94968,                0.38865,                0.42451,                0.30855,                 1.7507,                  2.433,                 1.4858,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.0948,                 1.0384,                 1.5223,                0.94968,                0.38865,                0.42451,                0.30855,                 1.7507,                  2.433,                 1.4858,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 0.5843,                0.65488,                0.97622,                0.94968,                0.38865,                0.42451,                0.30855,                 1.7507,                  2.433,                 1.4858,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.52556,                0.48468,                0.92888,                0.94968,                0.38865,                0.42451,                0.30855,                 1.7507,                  2.433,                 1.4858,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                  0.648,                0.72118,                0.94103,                 0.9586,                0.38843,                0.42367,                0.30674,                 1.7408,                 2.4894,                 1.4682,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.42619,                0.45873,                0.95421,                 0.9586,                0.38843,                0.42367,                0.30674,                 1.7408,                 2.4894,                 1.4682,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.54583,                0.51315,                0.89096,                 0.9586,                0.38843,                0.42367,                0.30674,                 1.7408,                 2.4894,                 1.4682,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.42874,                0.51325,                0.92547,                 0.9586,                0.38843,                0.42367,                0.30674,                 1.7408,                 2.4894,                 1.4682,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.45071,                0.46928,                0.97359,                 0.9528,                0.38755,                0.42632,                0.30791,                 1.7801,                 2.5637,                 1.5132,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.64568,                0.65078,                0.99885,                 0.9528,                0.38755,                0.42632,                0.30791,                 1.7801,                 2.5637,                 1.5132,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.49891,                0.55067,                0.91299,                 0.9528,                0.38755,                0.42632,                0.30791,                 1.7801,                 2.5637,                 1.5132,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.56139,                0.57847,                 0.9635,                 0.9528,                0.38755,                0.42632,                0.30791,                 1.7801,                 2.5637,                 1.5132,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.47713,                0.56322,                0.99246,                0.94987,                0.37711,                0.47836,                0.35897,                 1.7492,                 2.5724,                 1.4911,             2.3444e-06,             2.3444e-06,             2.3444e-06
